,Car Name,Car Model,Year,Mileage,Fuel Type,Owner,Price
0,HYUNDAI CRETA,1.6 SX PLUS PETROL,2018,9000,Petrol,1st Owner,₹9L
1,MAHINDRA XUV500,W6,2014,81000,Diesel,1st Owner,₹5.8L
2,MARUTI SUZUKI ALTO,STD BS III,2006,80000,Petrol,1st Owner,₹1.9L
3,TOYOTA Corolla Altis,1.8 VL,2012,28500,Petrol,2nd Owner,₹3.5L
4,MARUTI SUZUKI WAGON R,LXI,2017,25000,Petrol,1st Owner,₹3.5L
5,MARUTI SUZUKI ERTIGA,VDI,2018,25500,Diesel,1st Owner,₹8.85L
6,MARUTI SUZUKI BALENO,1 2 ZETA,2017,25000,Diesel,1st Owner,₹3.85L
7,TOYOTA FORTUNER,3.0 LIMITED EDITION,2018,60000,Diesel,2nd Owner,₹2.6L
8,MARUTI SUZUKI SWIFT,VDI Metallic,2015,25000,Diesel,1st Owner,₹4.2L
9,TATA MOTORS ZEST,XMS Diesel,2018,65226,Diesel,1st Owner,₹3.2L
10,MAHINDRA TUV 300,T4 Plus,2020,65655,Diesel,1st Owner,₹6L
11,MAHINDRA BOLERO,SLE,2008,60000,Diesel,3rd Owner,₹4.5L
12,MARUTI SUZUKI EECO,7 STR,2014,50000,Petrol,3rd Owner,₹6L
13,MAHINDRA Bolero Power+,ZLX BS4 Power +,2017,40000,Diesel,1st Owner,₹5L
14,TATA MOTORS SUMO GOLD,EX BS-III,2019,60000,Diesel,1st Owner,₹3.5L
15,MAHINDRA BOLERO,ZLX BS III,2015,50000,Diesel,2nd Owner,₹5L
16,TATA MOTORS TIAGO,XZ PETROL,2019,87000,Petrol,2nd Owner,₹5L
17,Renault Duster [2015-2016],110 PS RxL,2016,80000,Diesel,1st Owner,₹5L
18,NISSAN Terrano [2013-2017],XL (D),2014,65000,Diesel,1st Owner,₹5.6L
19,MARUTI SUZUKI SWIFT,ZXI,2014,70000,Petrol,2nd Owner,₹3L
20,TOYOTA FORTUNER,3.0 LIMITED EDITION,2009,60000,Diesel,2nd Owner,₹9.8L
21,HYUNDAI CRETA,1.6 SX PLUS PETROL,2018,9000,Petrol,1st Owner,₹9L
22,MAHINDRA XUV500,W6,2014,81000,Diesel,1st Owner,₹5.8L
23,MARUTI SUZUKI ALTO,STD BS III,2006,80000,Petrol,1st Owner,₹1.9L
24,TOYOTA Corolla Altis,1.8 VL,2012,28500,Petrol,2nd Owner,₹3.5L
25,MARUTI SUZUKI WAGON R,LXI,2017,25000,Petrol,1st Owner,₹3.5L
26,MARUTI SUZUKI ERTIGA,VDI,2018,25500,Diesel,1st Owner,₹8.85L
27,MARUTI SUZUKI BALENO,1 2 ZETA,2017,25000,Diesel,1st Owner,₹3.85L
28,TOYOTA FORTUNER,3.0 LIMITED EDITION,2018,60000,Diesel,2nd Owner,₹2.6L
29,MARUTI SUZUKI SWIFT,VDI Metallic,2015,25000,Diesel,1st Owner,₹4.2L
30,TATA MOTORS ZEST,XMS Diesel,2018,65226,Diesel,1st Owner,₹3.2L
31,MAHINDRA TUV 300,T4 Plus,2020,65655,Diesel,1st Owner,₹6L
32,MAHINDRA BOLERO,SLE,2008,60000,Diesel,3rd Owner,₹4.5L
33,MARUTI SUZUKI EECO,7 STR,2014,50000,Petrol,3rd Owner,₹6L
34,MAHINDRA Bolero Power+,ZLX BS4 Power +,2017,40000,Diesel,1st Owner,₹5L
35,TATA MOTORS SUMO GOLD,EX BS-III,2019,60000,Diesel,1st Owner,₹3.5L
36,MAHINDRA BOLERO,ZLX BS III,2015,50000,Diesel,2nd Owner,₹5L
37,TATA MOTORS TIAGO,XZ PETROL,2019,87000,Petrol,2nd Owner,₹5L
38,Renault Duster [2015-2016],110 PS RxL,2016,80000,Diesel,1st Owner,₹5L
39,NISSAN Terrano [2013-2017],XL (D),2014,65000,Diesel,1st Owner,₹5.6L
40,MARUTI SUZUKI SWIFT,ZXI,2014,70000,Petrol,2nd Owner,₹3L
41,TOYOTA FORTUNER,3.0 LIMITED EDITION,2009,60000,Diesel,2nd Owner,₹9.8L
42,HYUNDAI CRETA,1.6 SX PLUS PETROL,2018,9000,Petrol,1st Owner,₹9L
43,MAHINDRA XUV500,W6,2014,81000,Diesel,1st Owner,₹5.8L
44,MARUTI SUZUKI ALTO,STD BS III,2006,80000,Petrol,1st Owner,₹1.9L
45,TOYOTA Corolla Altis,1.8 VL,2012,28500,Petrol,2nd Owner,₹3.5L
46,MARUTI SUZUKI WAGON R,LXI,2017,25000,Petrol,1st Owner,₹3.5L
47,MARUTI SUZUKI ERTIGA,VDI,2018,25500,Diesel,1st Owner,₹8.85L
48,MARUTI SUZUKI BALENO,1 2 ZETA,2017,25000,Diesel,1st Owner,₹3.85L
49,TOYOTA FORTUNER,3.0 LIMITED EDITION,2018,60000,Diesel,2nd Owner,₹2.6L
50,MARUTI SUZUKI SWIFT,VDI Metallic,2015,25000,Diesel,1st Owner,₹4.2L
51,TATA MOTORS ZEST,XMS Diesel,2018,65226,Diesel,1st Owner,₹3.2L
52,MAHINDRA TUV 300,T4 Plus,2020,65655,Diesel,1st Owner,₹6L
